id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
861,HD 213885 b,157,7.95,Super Earth,2019,8.83,Earth,1.745,Earth,0.02012,0.0027378509,0,Transit
862,HD 213885 c,157,7.95,Neptune-like,2019,19.95,Earth,0.42,Jupiter,0.056798,0.013141684,0,Radial Velocity
863,HD 21411 b,95,7.88,Gas Giant,2019,0.20734,Jupiter,0.85,Jupiter,0.362,0.23080082,0.4,Radial Velocity
864,HD 214823 b,331,8.06,Gas Giant,2016,19.59946,Jupiter,1.08,Jupiter,3.078036,5.1,0.16,Radial Velocity
865,HD 215152 b,70,8.11,Super Earth,2018,1.819,Earth,1.19,Earth,0.057638,0.015879534,0,Radial Velocity
866,HD 215152 c,70,8.11,Super Earth,2018,1.72,Earth,1.17,Earth,0.067393,0.019986311,0,Radial Velocity
867,HD 215152 d,70,8.11,Super Earth,2018,2.801,Earth,1.48,Earth,0.08799,0.029842572,0,Radial Velocity
868,HD 215152 e,70,8.11,Super Earth,2018,2.877,Earth,1.51,Earth,0.15417,0.068993844,0,Radial Velocity
869,HD 215497 b,132,8.96,Neptune-like,2009,6.3566,Earth,0.214,Jupiter,0.05,0.010677618,0.16,Radial Velocity
870,HD 215497 c,132,8.96,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,1.282,1.6,0.49,Radial Velocity
871,HD 216435 b,108,6.03,Gas Giant,2002,1.26,Jupiter,1.22,Jupiter,2.56,3.6,0.07,Radial Velocity
872,HD 216437 b,87,6.04,Gas Giant,2002,2.223,Jupiter,1.19,Jupiter,2.497,3.7,0.32,Radial Velocity
873,HD 216520 b,64,7.53,Neptune-like,2020,10.26,Earth,0.284,Jupiter,0.198,0.0971937,0.09,Radial Velocity
874,HD 216520 c,64,7.53,Neptune-like,2020,9.44,Earth,0.271,Jupiter,0.528,0.42272416,0.12,Radial Velocity
875,HD 216536 b,1227,9.229,Gas Giant,2015,1.05,Jupiter,1.23,Jupiter,0.61,0.40684465,0.38,Radial Velocity
876,HD 216770 b,120,8.11,Gas Giant,2003,0.57,Jupiter,1.26,Jupiter,0.46,0.32443532,0.37,Radial Velocity
877,HD 21693 b,108,7.95,Neptune-like,2019,8.23,Earth,0.25,Jupiter,0.1455,0.062149215,0.12,Radial Velocity
878,HD 21693 c,108,7.95,Neptune-like,2019,17.37,Earth,0.387,Jupiter,0.2586,0.14702259,0.07,Radial Velocity
879,HD 217107 b,65,6.155,Gas Giant,1998,1.3,Jupiter,1.22,Jupiter,0.08,0.01943874,0.13,Radial Velocity
880,HD 217107 c,65,6.155,Gas Giant,2005,2.6,Jupiter,1.18,Jupiter,5.32,11.7,0.52,Radial Velocity
881,HD 21749 c,53,8.08,Super Earth,2019,3.7,Earth,0.892,Earth,0.0695,0.021355236,0,Transit
882,HD 217786 b,181,7.78,Gas Giant,2011,13.85303,Jupiter,1.1,Jupiter,2.44502,3.6,0.31,Radial Velocity
883,HD 217786 c,181,7.78,Neptune-like,2022,7.35886,Earth,0.234,Jupiter,0.037863,0.0068446267,-0.52,Radial Velocity
884,HD 217850 b,215,8.520001,Gas Giant,2018,21.6,Jupiter,1.08,Jupiter,4.56,9.6,0.76,Radial Velocity
885,HD 217958 b,202,8.05,Gas Giant,2022,0.5916,Jupiter,1.26,Jupiter,3.748429,7,0.16,Radial Velocity
886,HD 218566 b,94,8.6,Gas Giant,2010,0.2,Jupiter,0.832,Jupiter,0.69,0.6179329,0.3,Radial Velocity
887,HD 219077 b,95,6.12,Gas Giant,2012,9.75299,Jupiter,1.11,Jupiter,5.935698,15,0.77,Radial Velocity
888,HD 219134 b,21,5.56911,Super Earth,2015,4.74,Earth,1.602,Earth,0.03876,0.008487337,0,Radial Velocity
889,HD 219134 c,21,5.56911,Super Earth,2015,4.36,Earth,1.511,Earth,0.0653,0.018617386,0.06,Radial Velocity
890,HD 219134 d,21,5.56911,Super Earth,2015,16.17,Earth,1.61,Earth,0.237,0.12840521,0.14,Radial Velocity
891,HD 219134 f,21,5.56911,Super Earth,2015,7.3,Earth,1.31,Earth,0.1463,0.062149215,0.15,Radial Velocity
892,HD 219134 g,21,5.56911,Neptune-like,2015,10.80622,Earth,0.293,Jupiter,0.3753,0.25790554,0,Radial Velocity
893,HD 219134 h,21,5.56911,Gas Giant,2015,0.34,Jupiter,1.14,Jupiter,3.11,6.2,0.06,Radial Velocity
894,HD 219139 b,342,5.84863,Gas Giant,2021,0.78,Jupiter,1.24,Jupiter,0.94,0.7542779,0.11,Radial Velocity
895,HD 219415 b,539,8.909,Gas Giant,2012,1,Jupiter,1.23,Jupiter,3.2,5.7,0.4,Radial Velocity
896,HD 219666 b,307,9.809,Neptune-like,2018,16.6,Earth,0.42,Jupiter,0.06356,0.016427105,0,Transit
897,HD 219828 b,238,8.04,Neptune-like,2007,18.94937,Earth,0.408,Jupiter,0.048559,0.010403832,0.09,Radial Velocity
898,HD 219828 c,238,8.04,Gas Giant,2016,17.0123,Jupiter,1.09,Jupiter,5.657321,13.1,0.81,Radial Velocity
899,HD 220074 b,1059,6.40607,Gas Giant,2012,16.64,Jupiter,1.09,Jupiter,1.6,1.8,0.14,Radial Velocity
900,HD 220197 b,210,8.92,Gas Giant,2018,0.2,Jupiter,0.832,Jupiter,2.729,4.7,0.19,Radial Velocity
901,HD 220689 b,153,7.74,Gas Giant,2012,1.118,Jupiter,1.23,Jupiter,3.396,6.2,0.05,Radial Velocity
902,HD 220773 b,165,7.10831,Gas Giant,2011,1.45,Jupiter,1.21,Jupiter,4.94,10.2,0.51,Radial Velocity
903,HD 220842 b,211,7.98,Gas Giant,2016,3.18,Jupiter,1.17,Jupiter,0.74,0.5982204,0.4,Radial Velocity
904,HD 221287 b,182,7.82,Gas Giant,2007,3.09,Jupiter,1.17,Jupiter,1.25,1.2487338,0.08,Radial Velocity
905,HD 221416 b,312,8.15,Gas Giant,2019,0.19,Jupiter,0.836,Jupiter,0.1228,0.039151266,0.12,Transit
906,HD 221420 b,102,5.82,Gas Giant,2019,20.0215,Jupiter,1.08,Jupiter,8.416586,23.6,0.08,Radial Velocity
907,HD 221585 b,182,7.457,Gas Giant,2016,1.61,Jupiter,1.21,Jupiter,2.306,3.2,0.12,Radial Velocity
